	Epoch	train_loss	train_acc	lr	batch_size	epochs	resolush	backbone	Name_model	valid_loss	valid_acc	time	test_loss	test_acc
0	0	0.547	0.805	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0000.pth	0.412	0.854	24.78		
1	1	0.199	0.929	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0001.pth	0.622	0.794	24.12		
2	2	0.244	0.916	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0002.pth	0.534	0.829	24.37		
3	3	0.278	0.899	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0003.pth	1.216	0.702	24.43		
4	4	0.336	0.884	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0004.pth	1.623	0.626	24.56		
5	5	0.329	0.888	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0005.pth	1.103	0.698	23.96		
6	6	0.333	0.889	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0006.pth	1.149	0.716	23.76		
7	7	0.295	0.903	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0007.pth	0.499	0.835	23.87		
8	8	0.33	0.887	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0008.pth	0.851	0.753	24.34		
9	9	0.27	0.906	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0009.pth	0.638	0.826	24.57		
10	10	0.235	0.922	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0010.pth	0.747	0.777	23.85		
11	11	0.232	0.923	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0011.pth	0.49	0.846	24.04		
12	12	0.195	0.931	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0012.pth	0.825	0.779	24.12		
13	13	0.155	0.946	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0013.pth	0.633	0.805	23.48		
14	14	0.136	0.954	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0014.pth	0.897	0.786	23.68		
15	15	0.141	0.953	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0015.pth	0.724	0.793	23.73		
16	16	0.093	0.97	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0016.pth	1.438	0.725	24.11		
17	17	0.126	0.96	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0017.pth	0.935	0.805	24.02		
18	18	0.064	0.979	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0018.pth	0.411	0.898	25.09		
19	19	0.074	0.978	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0019.pth	0.588	0.862	24.07		
20	20	0.083	0.974	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0020.pth	0.508	0.87	23.93		
21	21	0.078	0.974	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0021.pth	0.512	0.869	23.65		
22	22	0.063	0.979	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0022.pth	0.788	0.821	24.03		
23	23	0.045	0.984	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0023.pth	0.486	0.883	24.21		
24	24	0.037	0.988	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0024.pth	0.538	0.869	23.94		
25	25	0.04	0.987	0.0081	64.0	50.0	224.0	resnet18	checkpoint_0025.pth	0.523	0.877	24.0		
