	Epoch	train_loss	train_acc	lr	batch_size	epochs	resolush	backbone	Name_model	valid_loss	valid_acc	time	test_loss	test_acc
0	0	0.479	0.85	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0000.pth	0.27	0.906	120.87		
1	1	0.098	0.97	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0001.pth	0.281	0.904	121.0		
2	2	0.068	0.98	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0002.pth	0.57	0.82	123.36		
3	3	0.128	0.958	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0003.pth	0.36	0.875	124.28		
4	4	0.138	0.953	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0004.pth	0.574	0.838	123.91		
5	5	0.132	0.954	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0005.pth	0.694	0.794	121.68		
6	6	0.148	0.949	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0006.pth	0.699	0.786	122.02		
7	7	0.151	0.949	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0007.pth	0.763	0.784	122.33		
8	8	0.157	0.947	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0008.pth	0.764	0.785	123.79		
9	9	0.153	0.948	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0009.pth	0.365	0.887	123.64		
10	10	0.141	0.952	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0010.pth	0.568	0.837	123.97		
11	11	0.157	0.948	0.0061	80.0	70.0	448.0	resnet18	checkpoint_0011.pth	0.462	0.854	122.67		
